,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Desmond Reid,Pittsburgh,Syr,Syr,-,-,136,7.83,125,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,GaSo,GaSo,-,-,137,7.81,147,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Nate Noel,Missouri,Ala,Missou,-,-,138,7.79,136,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Freddie Brock,Georgia State,App,GaSt,-,-,139,7.70,149,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,Ark,Ark,-,-,140,7.70,138,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,Wake,Wake,-,-,141,7.69,106,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,MiddTn,MiddTn,-,-,142,7.66,144,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,Okla,Okla,-,-,143,7.54,160,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,FlaSt,FlaSt,-,-,144,7.48,146,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,Boise,Boise,-,-,145,7.45,156,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Bennett Galloway,Louisiana-Monroe,USA,UL-Mon,-,-,146,7.45,164,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Al-Jay Henderson,Buffalo,Ohio,Buff,-,-,147,7.40,139,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,MSU,MSU,-,-,148,7.37,159,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,Tex,Tex,-,-,149,7.35,135,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,Mich,MSU,-,-,150,7.34,151,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,Tex,Tex,-,-,151,7.28,158,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,BC,Lou,-,-,152,7.22,130,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,Wagner,Wagner,-,-,153,7.20,154,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Zahir Abdus-Salaam,Western Michigan,KentSt,KentSt,-,-,154,7.18,150,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,JacSt,MiddTn,-,-,155,7.15,168,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,JMU,SouMis,-,-,156,7.13,157,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,Hou,Utah,-,-,157,7.09,169,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Byron Cardwell,California,OreSt,OreSt,-,-,158,7.08,153,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,BallSt,NIU,-,-,159,7.05,141,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,Stan,Wake,-,-,160,6.97,174,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Lexington Joseph,Florida International,SamHou,SamHou,-,-,161,6.90,137,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Leo Pulalasi,Washington State,SDSU,WashSt,-,-,162,6.86,152,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Brandon Thomas,Memphis,Char,Char,-,-,163,6.85,172,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Kenny Tracy,Miami (OH),CentMi,CentMi,-,-,164,6.84,170,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,Ind,Wash,-,-,165,6.83,155,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
